info: ::ffff:127.0.0.1 - - [07/Jul/2025:18:36:05 +0000] "POST /instaFinn/users HTTP/1.1" 500 51 "-" "Thunder Client (https://www.thunderclient.com)"

info: ::1 - - [07/Jul/2025:18:38:57 +0000] "GET /instaFinn/loans/visible HTTP/1.1" 200 35293 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36"

info: ::1 - - [07/Jul/2025:18:38:57 +0000] "GET /instaFinn/loans/visible HTTP/1.1" 200 35293 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36"

info: ::1 - - [07/Jul/2025:18:38:59 +0000] "GET /instaFinn/banks/bankOperator/6866858e48515f2dc0e531ef HTTP/1.1" 200 648 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36"

info: ::1 - - [07/Jul/2025:18:40:49 +0000] "GET /instaFinn/loans/visible HTTP/1.1" 200 35293 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36"

info: ::1 - - [07/Jul/2025:18:40:49 +0000] "GET /instaFinn/loans/visible HTTP/1.1" 200 35293 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36"

info: ::1 - - [07/Jul/2025:18:40:51 +0000] "GET /instaFinn/banks/bankOperator/6866858e48515f2dc0e531ef HTTP/1.1" 200 648 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36"

info: ::ffff:127.0.0.1 - - [07/Jul/2025:18:49:13 +0000] "POST /instaFinn/loans/686688d048515f2dc0e53272/decision HTTP/1.1" 400 65 "-" "Thunder Client (https://www.thunderclient.com)"

info: ::ffff:127.0.0.1 - - [07/Jul/2025:18:50:41 +0000] "POST /instaFinn/loans/686688d048515f2dc0e53272/decision HTTP/1.1" 401 37 "-" "Thunder Client (https://www.thunderclient.com)"

info: ::ffff:127.0.0.1 - - [07/Jul/2025:18:52:01 +0000] "POST /instaFinn/loans/686688d048515f2dc0e53272/decision HTTP/1.1" 401 37 "-" "Thunder Client (https://www.thunderclient.com)"

